,city,country,temp,latitude,longitude,cloudiness,humidity,wind speed
0,Kaitangata,NZ,54.0,-46.28,169.85,26,59,3.0
1,Saint Paul Harbor,US,73.4,57.79,-152.41,40,46,9.17
2,Mataura,NZ,50.4,-46.19,168.86,100,78,3.33
3,Gravdal,NO,53.38,68.12,13.5,96,72,2.64
4,Acajutla,SV,70.0,13.59,-89.83,100,97,3.22
5,Butaritari,KI,83.37,3.07,172.79,75,66,3.67
6,Ushuaia,AR,28.4,-54.8,-68.3,0,92,4.7
7,Port Alfred,ZA,58.06,-33.59,26.89,0,65,5.28
8,Rikitea,PF,67.24,-23.12,-134.97,91,72,19.57
9,Margate,GB,53.92,51.38,1.39,0,81,1.01
10,São Filipe,CV,75.7,14.9,-24.5,41,82,9.84
11,Bjørnevatn,NO,60.8,69.67,29.98,75,93,11.41
12,Warwick,US,78.71,41.7,-71.42,40,58,6.93
13,Mitchell,US,75.2,43.71,-98.03,1,69,6.93
14,Bengkulu,ID,86.56,-3.8,102.27,79,60,5.3
15,Vilyuysk,RU,67.84,63.76,121.62,100,93,13.38
16,Cape Town,ZA,53.26,-33.93,18.42,0,66,9.17
17,Pevek,RU,48.97,69.7,170.31,17,55,4.41
18,Ribeira Grande,PT,68.74,38.52,-28.7,12,69,1.68
19,Saint Anthony,US,72.79,45.02,-93.22,20,57,5.82
20,Husavik,IS,42.8,66.04,-17.34,90,93,2.19
21,Hualmay,PE,59.4,-11.1,-77.61,39,84,6.78
22,Kérouané,GN,70.0,9.27,-9.02,100,93,2.73
23,Ponta do Sol,PT,66.27,32.67,-17.1,40,77,11.41
24,Elliot Lake,CA,60.8,46.38,-82.63,1,87,11.41
25,Carlsbad,US,65.64,33.16,-117.35,7,88,4.7
26,Moussoro,TD,79.27,13.64,16.49,84,68,12.17
27,Andros Town,BS,82.4,24.7,-77.77,75,78,12.75
28,Hithadhoo,MV,84.18,-0.6,73.08,100,76,9.46
29,Acamixtla,MX,70.0,18.57,-99.58,77,85,4.0
30,San Vicente,AR,61.05,-26.62,-54.13,22,81,3.94
31,Hilo,US,73.6,19.73,-155.09,90,65,8.05
32,Bairiki Village,KI,82.4,1.33,172.98,75,78,2.24
33,Tashla,RU,72.09,51.77,52.74,47,56,1.92
34,Lanzhou,CN,69.8,36.06,103.79,40,64,4.47
35,Avarua,CK,77.0,-21.21,-159.78,100,78,18.34
36,Atambua,ID,83.28,-9.11,124.89,100,45,1.5
37,Airai,TL,73.81,-8.93,125.41,99,46,4.16
38,Jamestown,US,65.77,42.1,-79.24,1,77,0.63
40,Chui,UY,64.71,-33.7,-53.46,97,88,6.22
41,Saskylakh,RU,61.18,71.92,114.08,100,43,11.79
43,Thompson,CA,66.2,55.74,-97.86,75,59,2.73
44,Poum,NC,71.47,-20.23,164.02,70,64,15.14
45,Vaini,TO,75.2,-21.2,-175.2,20,64,9.17
47,Severo-Kuril'sk,RU,54.1,50.68,156.12,42,79,1.66
48,Khatanga,RU,58.42,71.97,102.5,83,51,4.61
49,Cockburn Town,TC,83.1,21.46,-71.14,59,78,22.15
50,Albany,US,73.31,42.6,-73.97,3,89,4.81
51,Lebu,CL,50.58,-37.62,-73.65,100,83,12.82
52,Laramie,US,63.36,41.31,-105.59,1,45,8.05
53,Kitimat,CA,61.0,54.05,-128.65,100,95,3.53
54,Chapais,CA,53.6,49.78,-74.85,90,87,10.29
55,Ilhabela,BR,68.72,-23.78,-45.36,0,57,3.47
56,Bilma,NE,85.95,18.69,12.92,44,31,4.92
57,Castro,BR,54.03,-24.79,-50.01,7,82,3.36
58,Bonavista,CA,59.72,48.65,-53.11,86,90,15.95
59,Saint-Philippe,RE,55.27,-21.36,55.77,90,63,6.93
60,Punta Arenas,CL,30.09,-53.15,-70.92,3,92,6.93
61,Hermanus,ZA,52.0,-34.42,19.23,2,88,6.15
62,Maralal,KE,55.72,1.1,36.7,82,92,2.66
63,Neiafu,TO,78.8,-18.65,-173.98,75,88,4.7
64,Cowra,AU,53.01,-33.83,148.68,1,69,1.99
65,Waingapu,ID,83.98,-9.66,120.26,38,57,12.55
66,Uray,RU,65.37,60.12,64.78,0,51,8.1
67,Upernavik,GL,46.9,72.79,-56.15,63,58,6.08
68,Vila Franca do Campo,PT,66.2,37.72,-25.43,75,88,4.7
70,Norman Wells,CA,60.8,65.28,-126.83,90,82,18.34
71,Charters Towers,AU,73.13,-20.1,146.27,100,35,10.89
72,Ulm,DE,56.3,48.4,9.99,70,80,4.21
73,Hobart,AU,56.55,-42.88,147.33,40,54,9.17
74,Pak Phanang,TH,91.4,8.35,100.2,20,66,3.36
75,Nanortalik,GL,47.61,60.14,-45.24,60,63,1.28
76,Nikolskoye,RU,61.63,59.7,30.79,99,87,2.33
77,Ilulissat,GL,51.8,69.22,-51.1,100,50,2.24
78,Chokurdakh,RU,83.53,70.63,147.92,55,31,14.41
79,Atuona,PF,80.47,-9.8,-139.03,29,78,18.25
80,Kapaa,US,80.47,22.08,-159.32,90,69,16.11
81,Grand Gaube,MU,69.01,-20.01,57.66,72,68,5.99
82,Dikson,RU,39.72,73.51,80.55,100,95,12.55
83,Kahului,US,78.55,20.89,-156.47,20,51,25.28
84,Mar del Plata,AR,51.58,-38.0,-57.56,90,93,18.34
85,Sterling,US,76.03,39.01,-77.43,1,88,4.7
86,Muli,MV,84.25,2.92,73.57,100,74,17.38
87,Alta Floresta,BR,70.03,-9.88,-56.09,0,54,5.03
88,Adrar,MR,91.63,20.5,-10.07,57,28,5.64
89,Leshukonskoye,RU,65.82,64.9,45.76,0,57,5.75
90,New Norfolk,AU,53.71,-42.78,147.06,81,74,3.0
91,Nekhayevskiy,RU,64.0,50.41,41.76,11,79,1.99
92,Vila,PT,62.01,42.03,-8.16,35,87,4.0
93,Qaanaaq,GL,45.37,77.48,-69.36,38,71,1.48
94,Oktyabr'skoye,RU,75.09,43.06,44.74,1,57,8.95
95,Capoterra,IT,68.99,39.18,8.97,0,88,5.82
96,Isangel,VU,77.0,-19.55,169.27,20,65,9.17
97,Bonnyville,CA,69.8,54.27,-110.73,40,64,2.24
98,Kuzino,RU,57.92,57.02,59.44,100,82,10.22
99,Buckeye,US,96.73,33.37,-112.58,40,20,3.36
100,San Patricio,MX,79.48,19.22,-104.7,0,82,8.37
101,Laguna de Perlas,NI,79.57,12.34,-83.67,76,87,7.05
102,Yellowknife,CA,67.12,62.46,-114.35,20,63,8.05
103,Richards Bay,ZA,55.02,-28.78,32.04,0,62,5.26
104,Rostovka,RU,62.6,55.38,71.89,0,67,11.97
105,Bodrum,TR,72.46,37.04,27.43,0,60,3.36
106,Port Lincoln,AU,54.81,-34.73,135.87,92,67,6.69
107,Beringovskiy,RU,47.21,63.05,179.32,81,74,9.31
108,Arraial do Cabo,BR,70.27,-22.97,-42.03,0,84,17.96
109,Provideniya,RU,50.0,64.38,-173.3,90,81,11.18
110,Beloha,MG,55.44,-25.17,45.05,0,82,6.06
111,Yerbogachën,RU,65.97,61.28,108.01,73,46,9.44
112,Kirakira,SB,81.34,-10.45,161.92,13,68,10.4
113,Kurayoshi,JP,77.83,35.43,133.82,75,94,16.11
114,Sola,VU,82.4,-13.88,167.55,75,65,5.82
115,Lompoc,US,58.89,34.64,-120.46,12,82,14.99
116,Busselton,AU,62.4,-33.65,115.33,100,43,18.81
117,Cherskiy,RU,77.47,68.75,161.3,97,27,5.48
118,Raudeberg,NO,48.42,61.99,5.14,100,93,5.82
119,Yantzaza,EC,63.88,-3.83,-78.76,20,84,0.98
120,Chumikan,RU,51.62,54.72,135.31,100,95,25.81
121,Mossamedes,AO,64.98,-15.2,12.15,0,59,4.43
122,Fortuna,US,54.95,40.6,-124.16,90,93,5.82
123,Qixingtai,CN,76.93,30.41,111.89,100,93,7.16
124,Atar,MR,86.27,20.52,-13.05,13,45,3.02
125,Simao,CN,68.97,22.79,100.97,100,89,3.62
126,Vestmannaeyjar,IS,49.08,63.44,-20.27,32,69,1.1
127,Cap Malheureux,MU,69.01,-19.98,57.61,73,68,5.99
128,Tadine,NC,71.28,-21.55,167.88,43,59,12.97
129,Tyrma,RU,82.74,50.08,132.17,9,33,6.51
130,Puerto Ayora,EC,69.01,-0.74,-90.35,99,88,5.01
132,Bambous Virieux,MU,69.42,-20.34,57.76,75,49,13.87
134,Andilamena,MG,51.17,-17.02,48.58,25,93,5.55
135,Muravlenko,RU,63.75,63.79,74.52,91,57,13.15
136,Jalu,LY,71.92,29.03,21.55,0,64,8.55
137,Teluk Nibung,ID,83.34,3.0,99.82,6,81,6.2
138,Torbay,CA,64.33,47.67,-52.73,75,93,24.16
139,Wanganui,NZ,53.01,-39.93,175.05,100,83,1.99
140,Riyadh,SA,95.0,24.69,46.72,83,13,8.05
142,Suratgarh,IN,87.06,29.32,73.9,85,64,3.06
143,Palmer,US,71.49,42.16,-72.33,20,54,4.7
144,Port Blair,IN,85.59,11.67,92.75,100,66,3.49
145,Whitehorse,CA,67.55,60.72,-135.05,40,32,13.87
146,Atasū,KZ,82.26,48.68,71.64,21,31,11.74
147,Harrismith,ZA,37.11,-28.27,29.13,0,58,1.72
148,Buraidah,SA,84.2,26.33,43.98,1,28,2.24
149,Bājitpur,BD,84.2,24.22,90.95,75,89,4.7
150,Tual,ID,79.59,-5.67,132.75,99,85,18.7
154,Simbahan,PH,83.28,6.3,120.58,37,69,3.24
155,Tocopilla,CL,57.58,-22.09,-70.2,100,72,2.01
156,Alice Springs,AU,55.4,-23.7,133.88,90,66,14.99
157,Bluff,NZ,51.53,-46.6,168.33,86,80,3.24
158,Stokmarknes,NO,50.68,68.56,14.91,99,94,5.01
159,Plettenberg Bay,ZA,59.85,-34.05,23.37,0,42,6.2
160,Pozo Colorado,PY,72.25,-23.49,-58.8,10,49,7.14
161,Tuktoyaktuk,CA,41.0,69.45,-133.04,90,80,12.75
162,Westport,US,77.99,41.14,-73.36,1,51,8.05
163,Uglovskoye,RU,82.49,51.36,80.19,68,47,11.92
164,Sinnamary,GF,77.61,5.38,-52.95,100,85,8.81
165,Kavieng,PG,85.59,-2.57,150.8,8,68,9.93
166,Glomfjord,NO,50.0,66.82,13.97,75,93,3.36
167,Tiksi,RU,52.07,71.69,128.87,93,80,8.77
168,Geraldton,AU,64.4,-28.77,114.6,0,59,21.92
169,Krasnosel'kup,RU,60.48,65.7,82.47,91,64,16.71
170,Longyearbyen,SJ,48.2,78.22,15.64,40,81,6.93
171,Siirt,TR,85.41,37.93,41.94,0,14,1.14
172,Los Llanos de Aridane,ES,71.6,28.66,-17.92,75,73,21.92
173,Lagoa,PT,68.2,39.05,-27.98,0,70,2.46
174,Baghmara,IN,87.71,23.8,86.21,100,63,7.96
176,Yar-Sale,RU,56.88,66.83,70.83,100,81,7.54
177,Kuching,MY,89.31,1.55,110.33,40,66,3.36
178,Shelburne,CA,59.92,44.08,-80.2,1,82,2.24
179,Gemena,CD,67.86,3.25,19.77,71,96,1.81
180,Nādāpuram,IN,78.8,11.7,75.67,40,83,4.7
181,Tongchuanshi,CN,70.72,35.08,109.09,100,71,3.78
182,Mount Isa,AU,77.0,-20.73,139.5,94,23,9.17
183,Tasiilaq,GL,42.8,65.61,-37.64,97,87,3.36
184,Hamilton,US,77.49,39.18,-84.53,1,88,3.89
185,Wajima,JP,82.4,37.4,136.9,75,78,19.46
186,Cabedelo,BR,74.7,-6.98,-34.83,27,83,15.52
187,Makkah al Mukarramah,SA,85.59,21.43,39.83,79,52,4.94
189,Iseyin,NG,69.89,7.97,3.6,99,98,2.64
190,Maniitsoq,GL,49.21,65.42,-52.9,100,87,12.3
191,Coquimbo,CL,50.0,-29.95,-71.34,81,87,9.17
192,Aplahoué,BJ,71.98,6.93,1.68,88,97,4.27
193,Yulara,AU,59.0,-25.24,130.99,90,58,12.75
194,Valdez,EC,75.81,1.25,-78.98,100,88,14.36
195,Rawson,AR,44.33,-43.3,-65.1,99,79,16.67
196,Klaksvík,FO,48.2,62.23,-6.59,20,93,1.12
197,Terråk,NO,51.4,65.09,12.37,100,87,3.36
198,Isfahan,IR,71.6,32.66,51.68,0,21,4.7
199,Hargeisa,SO,67.24,9.56,44.06,96,66,29.33
200,Constitución,CL,51.49,-35.33,-72.42,99,88,12.82
201,Lakselv,NO,53.6,70.05,24.97,90,93,4.7
202,Honiara,SB,89.6,-9.43,159.95,40,55,13.87
203,Oran,DZ,73.4,35.69,-0.64,35,83,4.7
204,Hong Kong,HK,89.64,22.29,114.16,22,62,8.99
205,Meadow Lake,US,79.02,34.8,-106.54,75,19,12.75
206,Bathsheba,BB,80.6,13.22,-59.52,40,69,18.34
207,George Town,MY,86.63,5.41,100.34,20,79,4.7
208,Tobermory,CA,55.0,45.25,-81.67,91,91,8.95
209,San Joaquin,VE,73.04,10.26,-67.79,100,87,3.0
210,Grindavik,IS,44.6,63.84,-22.43,20,87,1.74
211,Carnarvon,AU,73.4,-24.87,113.63,0,38,12.75
212,Marrakesh,MA,69.8,31.63,-8.01,0,77,8.05
213,Kudahuvadhoo,MV,84.15,2.67,72.89,100,75,16.73
214,Barra,BR,71.35,-11.09,-43.14,98,67,10.47
215,Nuuk,GL,51.8,64.18,-51.72,100,87,1.12
216,Souillac,MU,69.8,-20.52,57.52,75,49,13.87
217,Benguela,AO,65.73,-12.58,13.41,0,68,3.89
218,Esperance,AU,59.41,-33.87,121.9,100,57,13.87
220,Pangnirtung,CA,51.39,66.15,-65.71,88,70,2.91
221,Oranjemund,NA,61.07,-28.55,16.43,0,39,2.46
222,Balaka,MW,54.9,-14.98,34.96,1,93,3.96
223,Te Anau,NZ,45.05,-45.42,167.72,95,86,9.1
224,Vanavara,RU,68.7,60.34,102.28,14,40,3.09
225,Korla,CN,71.01,41.76,86.15,89,77,0.67
226,Coyhaique,CL,33.8,-45.58,-72.07,90,89,4.7
227,Salas,ES,64.4,43.41,-6.26,90,88,3.36
228,Ulagan,RU,75.27,50.63,87.96,95,49,1.16
229,Cabo San Lucas,MX,89.1,22.89,-109.91,5,26,11.43
230,Katsuura,JP,80.15,35.13,140.3,75,88,5.82
231,Havre-St-Pierre,CA,64.4,50.23,-63.6,1,82,11.41
232,Calvinia,ZA,50.9,-31.47,19.78,0,41,8.7
233,Moose Factory,CA,59.0,51.26,-80.61,90,87,6.93
234,Iwaki,JP,78.73,37.05,140.88,100,78,1.01
235,Imeni Poliny Osipenko,RU,60.42,52.42,136.49,100,98,4.68
236,Marystown,CA,62.06,47.17,-55.15,83,88,13.38
237,Yagodnoye,RU,77.18,62.55,149.67,76,37,6.13
238,Flinders,AU,60.26,-34.58,150.86,7,49,5.01
239,Dhidhdhoo,MV,81.68,6.88,73.1,100,80,18.07
240,Ati,TD,77.41,13.22,18.34,100,76,11.01
241,Benghazi,LY,75.58,32.12,20.07,0,70,16.2
242,Bara,NG,73.2,10.37,10.73,100,89,10.67
243,Kamogawa,JP,79.43,35.1,140.1,75,88,5.82
244,Lagos,NG,77.0,6.58,3.75,40,94,3.36
245,Laï,TD,70.93,9.4,16.3,94,94,3.29
246,Aswān,EG,87.35,24.09,32.91,0,21,9.91
247,St. George's,GD,80.6,12.06,-61.75,75,88,23.04
249,Bima,ID,91.45,-8.47,118.72,28,39,3.78
250,Grand Forks,US,63.37,47.93,-97.03,90,82,8.05
251,San Policarpo,PH,85.48,12.18,125.51,100,73,6.38
252,Bandrele,YT,75.2,-12.91,45.19,75,73,19.46
253,Berdigestyakh,RU,63.05,62.1,126.7,100,89,13.04
254,Valleyview,CA,61.43,55.07,-117.29,83,71,5.39
255,Kemijärvi,FI,64.31,66.71,27.43,59,84,3.87
257,Saint George,US,98.6,37.1,-113.58,1,12,9.17
259,Broome,US,67.71,42.25,-75.83,1,60,3.36
260,Sitka,US,55.4,57.05,-135.33,90,93,4.7
261,São João da Barra,BR,70.48,-21.64,-41.05,0,90,10.2
262,Erenhot,CN,89.38,43.65,111.98,66,19,22.44
263,Belyy Yar,RU,73.4,53.6,91.39,25,53,2.24
264,Port-Gentil,GA,74.43,-0.72,8.78,96,82,10.58
265,Mount Gambier,AU,53.76,-37.83,140.77,73,68,5.61
266,Badiraguato,MX,78.3,25.37,-107.52,75,88,9.17
267,Dunedin,NZ,53.69,-45.87,170.5,62,64,3.71
268,Aksay,RU,66.07,47.26,39.87,20,72,6.71
269,Narsaq,GL,50.0,60.92,-46.05,78,66,4.7
270,Yarim,YE,56.71,14.3,44.38,100,88,2.66
271,Russell,US,75.6,32.35,-85.2,1,83,3.96
272,Talaya,RU,73.45,61.38,152.75,0,32,4.85
273,Gizo Government Station,SB,80.94,-8.1,156.84,41,82,20.13
274,Egvekinot,RU,54.95,66.32,-179.17,3,50,2.26
275,Barrow,US,33.8,71.29,-156.79,90,86,8.05
276,Assiut,EG,73.4,27.18,31.18,0,38,9.17
277,Buchanan,LR,75.54,5.88,-10.05,98,89,8.66
278,Beyneu,KZ,94.69,45.32,55.2,25,17,8.93
279,Stann Creek Town,BZ,81.55,16.97,-88.23,5,81,4.0
280,Umluj,SA,87.22,25.02,37.27,66,53,1.23
281,Mahébourg,MU,69.8,-20.41,57.7,75,49,13.87
283,Khovd,MN,78.26,48.01,91.64,100,33,4.21
